subclassification_code,rule_id,category_code,category,subcategory,tertiary_applicable,tertiary_dimension,tertiary_code,tertiary_classification,tertiary_source_term,tertiary_is_residual,tertiary_aliases,allocation_key,annual_rate_pkr,rate_basis,official_text,criteria_json,source_page,notes
10,PFT-10,10,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops,With air conditioning facility,true,food_establishment_type,PFT-T10-EATERY,Eatery,Eateries,false,eatery | eateries,10|PFT-T10-EATERY,5000,per annum,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops with air conditioning facility,"[{""field"":""business_type"",""operator"":""IN"",""value"":[""Restaurant"",""Eatery"",""Fast Food Point"",""Ice Cream Parlor"",""Bakery"",""Confectioner"",""Sweets Shop""]},{""field"":""air_conditioning_facility"",""operator"":""="",""value"":true}]",5,
10,PFT-10,10,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops,With air conditioning facility,true,food_establishment_type,PFT-T10-FAST-FOOD,Fast Food Point,Fast Food Points,false,fast food point | fast food points,10|PFT-T10-FAST-FOOD,5000,per annum,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops with air conditioning facility,"[{""field"":""business_type"",""operator"":""IN"",""value"":[""Restaurant"",""Eatery"",""Fast Food Point"",""Ice Cream Parlor"",""Bakery"",""Confectioner"",""Sweets Shop""]},{""field"":""air_conditioning_facility"",""operator"":""="",""value"":true}]",5,
10,PFT-10,10,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops,With air conditioning facility,true,food_establishment_type,PFT-T10-ICE-CREAM-PARLOR,Ice Cream Parlor,Ice Cream Parlors,false,ice cream parlor | ice cream parlors | ice cream parlour | ice cream parlours,10|PFT-T10-ICE-CREAM-PARLOR,5000,per annum,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops with air conditioning facility,"[{""field"":""business_type"",""operator"":""IN"",""value"":[""Restaurant"",""Eatery"",""Fast Food Point"",""Ice Cream Parlor"",""Bakery"",""Confectioner"",""Sweets Shop""]},{""field"":""air_conditioning_facility"",""operator"":""="",""value"":true}]",5,
10,PFT-10,10,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops,With air conditioning facility,true,food_establishment_type,PFT-T10-BAKERY,Bakery,Bakeries,false,bakery | bakeries,10|PFT-T10-BAKERY,5000,per annum,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops with air conditioning facility,"[{""field"":""business_type"",""operator"":""IN"",""value"":[""Restaurant"",""Eatery"",""Fast Food Point"",""Ice Cream Parlor"",""Bakery"",""Confectioner"",""Sweets Shop""]},{""field"":""air_conditioning_facility"",""operator"":""="",""value"":true}]",5,
10,PFT-10,10,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops,With air conditioning facility,true,food_establishment_type,PFT-T10-CONFECTIONER,Confectioner,Confectioners,false,confectioner | confectioners | confectionery,10|PFT-T10-CONFECTIONER,5000,per annum,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops with air conditioning facility,"[{""field"":""business_type"",""operator"":""IN"",""value"":[""Restaurant"",""Eatery"",""Fast Food Point"",""Ice Cream Parlor"",""Bakery"",""Confectioner"",""Sweets Shop""]},{""field"":""air_conditioning_facility"",""operator"":""="",""value"":true}]",5,
10,PFT-10,10,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops,With air conditioning facility,true,food_establishment_type,PFT-T10-SWEETS-SHOP,Sweets Shop,Sweets Shops,false,sweets shop | sweets shops | sweet shop | sweet shops,10|PFT-T10-SWEETS-SHOP,5000,per annum,Restaurants / Eateries / Fast Food Points / Ice Cream Parlors / Bakeries / Confectioners / Sweets Shops with air conditioning facility,"[{""field"":""business_type"",""operator"":""IN"",""value"":[""Restaurant"",""Eatery"",""Fast Food Point"",""Ice Cream Parlor"",""Bakery"",""Confectioner"",""Sweets Shop""]},{""field"":""air_conditioning_facility"",""operator"":""="",""value"":true}]",5,
11,PFT-11,11,"Persons engaged in profession, trade, calling or employment assessed to pay income tax",Assessed to pay income tax during the preceding financial years,true,engagement_basis,PFT-T11-PROFESSION,Profession,profession,false,profession,11|PFT-T11-PROFESSION,200,per annum,"Persons who are engaged in a profession, trade, calling or employment who were assessed to pay income tax during the preceding financial years","[{""field"":""engaged_in"",""operator"":""IN"",""value"":[""profession"",""trade"",""calling"",""employment""]},{""field"":""assessed_to_pay_income_tax_in_preceding_financial_years"",""operator"":""="",""value"":true}]",5,
11,PFT-11,11,"Persons engaged in profession, trade, calling or employment assessed to pay income tax",Assessed to pay income tax during the preceding financial years,true,engagement_basis,PFT-T11-TRADE,Trade,trade,false,trade,11|PFT-T11-TRADE,200,per annum,"Persons who are engaged in a profession, trade, calling or employment who were assessed to pay income tax during the preceding financial years","[{""field"":""engaged_in"",""operator"":""IN"",""value"":[""profession"",""trade"",""calling"",""employment""]},{""field"":""assessed_to_pay_income_tax_in_preceding_financial_years"",""operator"":""="",""value"":true}]",5,
11,PFT-11,11,"Persons engaged in profession, trade, calling or employment assessed to pay income tax",Assessed to pay income tax during the preceding financial years,true,engagement_basis,PFT-T11-CALLING,Calling,calling,false,calling,11|PFT-T11-CALLING,200,per annum,"Persons who are engaged in a profession, trade, calling or employment who were assessed to pay income tax during the preceding financial years","[{""field"":""engaged_in"",""operator"":""IN"",""value"":[""profession"",""trade"",""calling"",""employment""]},{""field"":""assessed_to_pay_income_tax_in_preceding_financial_years"",""operator"":""="",""value"":true}]",5,
11,PFT-11,11,"Persons engaged in profession, trade, calling or employment assessed to pay income tax",Assessed to pay income tax during the preceding financial years,true,engagement_basis,PFT-T11-EMPLOYMENT,Employment,employment,false,employment,11|PFT-T11-EMPLOYMENT,200,per annum,"Persons who are engaged in a profession, trade, calling or employment who were assessed to pay income tax during the preceding financial years","[{""field"":""engaged_in"",""operator"":""IN"",""value"":[""profession"",""trade"",""calling"",""employment""]},{""field"":""assessed_to_pay_income_tax_in_preceding_financial_years"",""operator"":""="",""value"":true}]",5,
